201801 张斌 男 软件技术 
201802 刘丽 女 人工智能 
201803 李英 女 软件技术 
201804 陈华 男 人工智能 
201805 王奇 男 软件技术 
201806 董强 男 人工智能 
201807 王萍 女 人工智能 
201808 王忠 男 软件技术 
201809 章强 男 人工智能 
201810 李萍 女 软件技术


c02 数据结构 64
c03 程序设计 64
c01 数据库 48


201801	 C01 	80
201802	 C01 	90
201803	 C01 	95
201804	 C01 	78
201805	 C01 	84
201806	 C01 	82
201807	 C01 	89
201808	 C01 	0
201809	 C01 	92
201810	 C01 	94
201801	 C02 	88
201802	 C02 	79
201803	 C02 	91
201804	 C02 	87
201805	 C02 	75
201806	 C02 	82
201807	 C02 	28
201808	 C02 	1
201809	 C02 	28
201810	 C02 	55
201801	 C03 	57
201802	 C03 	72
201803	 C03 	9
201804	 C03 	2
201805	 C03 	45
201806	 C03 	38
201807	 C03 	73
201808	 C03 	55
201809	 C03 	3
201810	 C03 	70
  

